sample	PRS
HG00554_HG00554	0.004011559998616576
HG02433_HG02433	0.0027044438757002354
HG00319_HG00319	0.003165793139487505
HG03432_HG03432	-0.003942753886803985
HG04210_HG04210	-1.1810800060629845e-05
HG02816_HG02816	0.005589808337390423
HG00653_HG00653	-0.0030974848195910454
HG02275_HG02275	0.003165793139487505
NA20533_NA20533	0.0019505070522427559
HG03401_HG03401	-0.002998749725520611
HG02284_HG02284	0.003165793139487505
NA19129_NA19129	-0.007120855618268251
HG04158_HG04158	-0.0020610529463738203
NA18858_NA18858	-0.005059802671894431
HG01702_HG01702	0.0020492421463131905
HG02792_HG02792	-0.000996198272332549
HG02621_HG02621	-0.012168847490102053
NA20507_NA20507	0.0060726129449903965
NA19731_NA19731	0.0020492421463131905
HG02778_HG02778	-0.007120855618268251
